word_id,word,pinyin,video_url,sort_order,category
00000658_2,齿轮,chĭlún,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000658.mp4,114,common
00000395_1,充足,chōngzú,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000395.mp4,115,common
00000114_1,筹备,chóubèi,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000114.mp4,116,common
00000020_1,出,chū,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000020.mp4,117,common
00000480_1,出差,chūchāi,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000480.mp4,118,common
00000592_2,出其不意,chūqíbùyì,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000592.mp4,119,common
00001295_3,出生,chūshēng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001295.mp4,120,common
00000239_1,出席,chūxí,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000239.mp4,121,common
00000487_1,出现②,chūxiàn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000487.mp4,122,common
00000363_2,初,chū,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000363.mp4,123,common
'00000791,厨房,chúfáng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000791.mp4,124,common
00000161_1,处理②,chŭlĭ,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000161.mp4,125,common
00000161_2,处置,chŭzhì,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000161.mp4,126,common
00001625_1,矗立,chùlì,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001625.mp4,127,common
00001202_1,川流不息②,chuānliú-bùxī,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001202.mp4,128,common
00000205_0,穿,chuān,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000205.mp4,129,common
00000536_2,传送,chuánsòng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000536.mp4,130,common
'00001219,传真,chuánzhēn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001219.mp4,131,common
00001358_0,船,chuán,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001358.mp4,132,common
'00003521,春②,chūn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00003521.mp4,133,common
'00001097,春节,Chūnjié,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001097.mp4,134,common
00000187_2,纯洁,chúnjié,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000187.mp4,135,common
'00001331,词,cí,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001331.mp4,136,common
00003992_0,词典,cídiǎn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00003992.mp4,137,common
'00001001,次,cì,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00001001.mp4,138,common
00000443_0,聪明②,cōng·míng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000443.mp4,139,common
00000131_0,从,cóng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000131.mp4,140,common
00000094_3,从而①,cóng'ér,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000094.mp4,141,common
00000095_3,从而②,cóng'ér,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000095.mp4,142,common
00000287_1,从来,cónglái,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000287.mp4,143,common
00000197_2,措施,cuòshī,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000197.mp4,144,common
00000512_0,错误,cuòwù,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000512.mp4,145,common
'00000861,答案,dá'àn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000861.mp4,146,common
00000180_1,答应,dá·ying,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000180.mp4,147,common
'00000130,打,dǎ,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000130.mp4,148,common
00000985_1,打扮,dǎ·bɑn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000985.mp4,149,common
00000945_0,打工,dǎgōng,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000945.mp4,150,common
00000394_0,打扰,dǎrǎo,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000394.mp4,151,common
'00000158,打算,dǎ·suàn,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000158.mp4,152,common
'00000868,打折,dǎzhé,https://photo-storage-bj.vivo.com.cn/ai-avatar/sign_language_word_00000868.mp4,153,common
